config_id,component_id,n_nodes,n_members_unique,n_edges_internal,beta_1_component,mean_node_size,mean_imputation_fraction,physically_derived_fraction,dominant_radius_class,dominant_orbit_class,dominant_thermal_class,dominant_candidate_population,median_pl_rade,median_pl_bmasse,median_pl_orbper,median_pl_eqt,example_nodes,example_pl_names,interpretation_text,caution_level
orbital_pca2_cubes10_overlap0p35,10,2,4,1,0,4.0,0.0,0.0,rocky_size,short_period,warm,super_earth_candidate,1.478,2.79,4.8204058100000005,361.5,"cube7_cluster8, cube8_cluster1","Kepler-1582 b, Kepler-445 c, TOI-1680 b, TOI-6716 b",Connected component with 2 nodes and beta_1_component=0. Dominant heuristic population: super_earth_candidate.,low
orbital_pca2_cubes10_overlap0p35,11,2,4,1,0,4.0,0.0,0.125,sub_neptune_size,short_period,warm,sub_neptune_candidate,1.827,4.005,6.8481499999999995,374.5,"cube7_cluster9, cube8_cluster2","GJ 3988 b, K2-325 b, TOI-2096 c, TOI-5716 b",Connected component with 2 nodes and beta_1_component=0. Dominant heuristic population: sub_neptune_candidate.,low
orbital_pca2_cubes10_overlap0p35,12,4,5,6,3,5.0,0.0,0.0,jovian_size,long_period,hot,warm_or_cool_giant_candidate,12.699999999999998,2080.0,710.9999999999998,938.9257723703514,"cube17_cluster3, cube18_cluster1, cube24_cluster2, cube25_cluster3","75 Cet b, HD 11977 b, HD 240237 b, HD 47366 c, HD 47536 b",Connected component with 4 nodes and beta_1_component=3. Dominant heuristic population: warm_or_cool_giant_candidate.,low
orbital_pca2_cubes10_overlap0p35,13,4,5,6,3,5.0,0.0,0.0,jovian_size,long_period,hot,warm_or_cool_giant_candidate,12.900000000000002,1398.4520000000002,1026.999999999999,839.7833475939117,"cube17_cluster8, cube18_cluster2, cube24_cluster5, cube25_cluster7","18 Del b, HD 111591 b, HD 148156 b, HIP 97233 b, Kepler-539 c",Connected component with 4 nodes and beta_1_component=3. Dominant heuristic population: warm_or_cool_giant_candidate.,low
orbital_pca2_cubes10_overlap0p35,14,4,4,6,3,4.0,0.0,0.125,jovian_size,long_period,warm,warm_or_cool_giant_candidate,12.899999999999999,1476.32035,1274.0,758.4889770338247,"cube17_cluster11, cube18_cluster3, cube24_cluster6, cube25_cluster8","HD 142245 b, HD 86950 b, HD 99706 c, bet Pic c",Connected component with 4 nodes and beta_1_component=3. Dominant heuristic population: warm_or_cool_giant_candidate.,low
orbital_pca2_cubes10_overlap0p35,15,2,4,1,0,4.0,0.0,0.0,jovian_size,long_period,cool,warm_or_cool_giant_candidate,8.330000000000002,60.491687154999994,677.55,81.4837875488526,"cube19_cluster6, cube26_cluster9","HD 113538 b, Kepler-150 f, Kepler-421 b, TYC 2187-512-1 b",Connected component with 2 nodes and beta_1_component=0. Dominant heuristic population: warm_or_cool_giant_candidate.,low
orbital_pca2_cubes10_overlap0p35,16,4,10,6,3,10.0,0.0,0.0,jovian_size,long_period,cool,warm_or_cool_giant_candidate,12.55,2993.6257655299996,14484.905189999987,46.54228652802112,"cube25_cluster1, cube26_cluster1, cube32_cluster0, cube33_cluster0","47 UMa d, HD 115404 A c, HD 125271 b, HD 140901 c, HD 168863 b",Connected component with 4 nodes and beta_1_component=3. Dominant heuristic population: warm_or_cool_giant_candidate.,low
orbital_pca2_cubes10_overlap0p35,17,4,33,6,3,29.0,0.040303030303030306,0.0,jovian_size,long_period,cool,warm_or_cool_giant_candidate,12.900000000000002,1525.5763535999995,5144.000000000001,172.18110686671866,"cube25_cluster2, cube26_cluster2, cube32_cluster1, cube33_cluster1","55 Cnc d, BD-210397 c, HAT-P-17 c, HD 100508 b, HD 118203 c",Connected component with 4 nodes and beta_1_component=3. Dominant heuristic population: warm_or_cool_giant_candidate.,low
orbital_pca2_cubes10_overlap0p35,18,1,4,0,0,4.0,0.25,0.0,jovian_size,long_period,warm,warm_or_cool_giant_candidate,13.100000000000001,1241.124708335,4103.619244258627,466.65148919706473,cube25_cluster4,"DE CVn b, HD 238914 b, KMT-2019-BLG-0298L b, KMT-2022-BLG-2076L b",Connected component with 1 nodes and beta_1_component=0. Dominant heuristic population: warm_or_cool_giant_candidate.,moderate
orbital_pca2_cubes10_overlap0p35,19,2,22,1,0,15.0,0.045454545454545456,0.0,jovian_size,long_period,warm,warm_or_cool_giant_candidate,13.099999999999998,1050.4258640449998,3994.5,321.44877916475855,"cube25_cluster5, cube26_cluster11","HD 114783 c, HD 115954 b, HD 135625 b, HD 136925 b, HD 13931 b",Connected component with 2 nodes and beta_1_component=0. Dominant heuristic population: warm_or_cool_giant_candidate.,low
orbital_pca2_cubes10_overlap0p35,20,2,9,1,0,9.0,0.05555555555555555,0.0,jovian_size,long_period,warm,warm_or_cool_giant_candidate,12.400000000000002,3464.329636300001,10159.642790000002,310.5723709577377,"cube25_cluster6, cube32_cluster4","51 Eri b, HD 142 c, HD 221420 b, HD 26161 b, HD 48265 c",Connected component with 2 nodes and beta_1_component=0. Dominant heuristic population: warm_or_cool_giant_candidate.,low
orbital_pca2_cubes10_overlap0p35,21,2,7,1,0,6.5,0.0,0.0,jovian_size,long_period,cool,warm_or_cool_giant_candidate,12.6,2598.5650556300006,17071.78045000001,98.35458091040448,"cube32_cluster2, cube33_cluster2","HD 109988 b, HD 11112 b, HD 149806 b, HD 155918 c, HD 213472 b",Connected component with 2 nodes and beta_1_component=0. Dominant heuristic population: warm_or_cool_giant_candidate.,low
orbital_pca2_cubes10_overlap0p35,22,2,6,1,0,5.5,0.041666666666666664,0.0,jovian_size,long_period,cool,warm_or_cool_giant_candidate,12.250000000000002,4068.68035221,26390.551209999983,100.58236238869245,"cube32_cluster3, cube33_cluster3","GJ 2030 c, HD 111232 c, HD 11506 d, HD 25912 c, HR 5183 b",Connected component with 2 nodes and beta_1_component=0. Dominant heuristic population: warm_or_cool_giant_candidate.,low
orbital_pca2_cubes10_overlap0p35,23,1,4,0,0,4.0,0.375,0.0,jovian_size,long_period,cool,warm_or_cool_giant_candidate,10.67,846.5903196200002,17582.86803619106,93.62644793308124,cube32_cluster5,"2MASS J04414489+2301513 b, HD 151450 c, LkCa 15 b, OGLE-2008-BLG-092L b",Connected component with 1 nodes and beta_1_component=0. Dominant heuristic population: warm_or_cool_giant_candidate.,high
thermal_pca2_cubes10_overlap0p35,0,2,42,1,0,37.0,0.9724702380952381,0.0,jovian_size,long_period,cool,warm_or_cool_giant_candidate,12.6,1694.5021519200006,7893.0,0.0,"cube11_cluster0, cube12_cluster0","2MASS J02192210-3925225 b, AB Aur b, AT2021ueyL b, BD-210397 b, DENIS-P J082303.1-491201 b",Connected component with 2 nodes and beta_1_component=0. Dominant heuristic population: warm_or_cool_giant_candidate.,high
thermal_pca2_cubes10_overlap0p35,1,1,10,0,0,10.0,0.95,0.0,jovian_size,long_period,cool,warm_or_cool_giant_candidate,12.300000000000004,3983.6805,400740.5093493643,0.0,cube11_cluster1,"2MASS J22362452+4751425 b, AB Pic b, BD-210397 c, CHXR 73 b, GJ 15 A c",Connected component with 1 nodes and beta_1_component=0. Dominant heuristic population: warm_or_cool_giant_candidate.,high
thermal_pca2_cubes10_overlap0p35,2,4,15,6,3,9.5,0.9666666666666668,0.0,jovian_size,long_period,cool,warm_or_cool_giant_candidate,12.6,2685.6500391499985,17202.194460000013,126.81094830040252,"cube11_cluster2, cube12_cluster7, cube17_cluster0, cube18_cluster7","HD 100546 b, HD 11112 b, HD 11506 d, HD 115954 b, HD 149806 b",Connected component with 4 nodes and beta_1_component=3. Dominant heuristic population: warm_or_cool_giant_candidate.,high
thermal_pca2_cubes10_overlap0p35,3,2,10,1,0,10.0,0.95,0.0,jovian_size,long_period,cool,warm_or_cool_giant_candidate,13.3,827.9430002350002,5361.000000000001,49.025422728377066,"cube12_cluster1, cube18_cluster1","47 UMa d, GJ 328 b, HAT-P-17 c, HD 140901 c, HD 160691 c",Connected component with 2 nodes and beta_1_component=0. Dominant heuristic population: warm_or_cool_giant_candidate.,high
thermal_pca2_cubes10_overlap0p35,4,35,5567,74,40,315.6,0.48964856099106757,0.0,jovian_size,intermediate_period,hot,warm_or_cool_giant_candidate,2.73,8.5,11.242861,764.010203520738,"cube12_cluster2, cube13_cluster3, cube18_cluster0, cube18_cluster12, cube19_cluster0","14 Her b, 16 Cyg B b, 17 Sco b, 18 Del b, 24 Boo b",Connected component with 35 nodes and beta_1_component=40. Dominant heuristic population: warm_or_cool_giant_candidate.,high
thermal_pca2_cubes10_overlap0p35,5,4,9,6,3,7.5,0.7916666666666667,0.0,jovian_size,long_period,cool,warm_or_cool_giant_candidate,5.92,29.4,727.5619999999999,0.0,"cube12_cluster3, cube13_cluster1, cube18_cluster2, cube19_cluster2","GJ 1148 c, GJ 163 d, GJ 3138 d, GJ 4274 c, GJ 687 c",Connected component with 4 nodes and beta_1_component=3. Dominant heuristic population: warm_or_cool_giant_candidate.,high
thermal_pca2_cubes10_overlap0p35,6,4,8,6,3,8.0,0.875,0.0,sub_neptune_size,long_period,cool,sub_neptune_candidate,2.715,7.85,189.40980000000002,0.0,"cube12_cluster4, cube13_cluster2, cube18_cluster3, cube19_cluster3","GJ 229 b, GJ 3293 c, GJ 3323 c, GJ 667 C g, GJ 682 c",Connected component with 4 nodes and beta_1_component=3. Dominant heuristic population: sub_neptune_candidate.,high
