column,description,non_null,missing,missing_pct,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,skew
sy_disterr1,Distance [pc] Upper Unc,6138,135,2.152,59.27468186051808,234.4356369575391,0.00034,0.00327055,0.0204,0.429,3.80925,16.695500000000003,162.51399999999936,1280.0,2600.0,5.499173463401359
sy_disterr2,Distance [pc] Lower Unc,6138,135,2.152,-66.49346680040078,278.03933370076743,-2840.0,-1600.0,-144.939,-16.2275,-3.747,-0.427,-0.020485000000000038,-0.0032705499999999984,-0.00035,-5.569629546141411
pl_dens,"Planet Density [g/cm3], derived from pl_bmasse and pl_rade",6199,74,1.18,13.109383794015194,260.08332333357833,0.030255144032921812,0.18430974556272264,0.3419656578526486,1.337925146098382,2.5883077748942203,4.672604444444445,11.30426053181845,52.975966478388635,13880.950878914133,40.92868580537466
pl_rade,Planet Radius [Earth Radius],6223,50,0.797,5.80640558653704,5.4039297509515,0.3098,0.750898403,1.073,1.84,2.84141754,11.9,14.3,18.250942159999976,87.20586985,1.760840769510489
pl_radelim,Planet Radius Limit Flag,6223,50,0.797,-0.0006427767957576731,0.02534693027662804,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.41445823743119
pl_radj,Planet Radius [Jupiter Radius],6223,50,0.797,0.5180434962317211,0.4821456287650131,0.02763855,0.067060489,0.09572681,0.1641538,0.25349473,1.06,1.2798999999999996,1.628239999999998,7.78,1.7606023142401992
pl_radjlim,Planet Radius Limit Flag,6223,50,0.797,-0.0006427767957576731,0.02534693027662804,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.41445823743119
pl_bmasse,Planet Mass or Mass*sin(i) [Earth Mass],6242,31,0.494,400.7319945549055,1135.2925664334987,0.02,0.38387000000000004,1.3305000000000002,4.27,9.2,184.0233394125,2511.4482892695,6463.274850000019,9534.85221,4.416882518977159
pl_bmasselim,Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag,6242,31,0.494,0.03220121755847485,0.18797683810330096,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.331187001071444
pl_bmassj,Planet Mass or Mass*sin(i) [Jupiter Mass],6242,31,0.494,1.2609871136222364,3.5724438718575704,6.293e-05,0.0012085198,0.004191,0.0134,0.02894644,0.579,7.9018999999999995,20.33600000000006,30.0,4.416540959118999
pl_bmassjlim,Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag,6242,31,0.494,0.03220121755847485,0.18797683810330096,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.331187001071444
sy_dist,Distance [pc],6246,27,0.43,705.4061826430899,1212.0087217716514,1.30119,6.2981,19.8782,101.694,364.03,826.265,2022.9,7065.500000000002,8500.0,4.022397948530123
st_mass,Stellar Mass [Solar mass],6264,9,0.143,0.9355387688378033,0.4073809719937534,0.0094,0.118,0.34,0.77,0.94,1.0822500000000002,1.44,2.0403599999999966,10.94,6.142637796419124
st_masslim,Stellar Mass Limit Flag,6264,9,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disc_year,Discovery Year,6272,1,0.016,2017.1672512755101,5.074214857526828,1992.0,2002.0,2008.0,2014.0,2016.0,2021.0,2025.0,2026.0,2026.0,-0.6271898928768037
dec,Dec [deg],6273,0,0.0,17.746776700462295,37.46896553089565,-89.4715133,-75.349871856,-56.5997984,-12.019067,39.0363123,45.4054296,56.09598855999994,74.9378327,88.8298759,-0.8124126872626788
pl_controv_flag,Controversial Flag,6273,0,0.0,0.007492427865455125,0.08624080834111923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.425325348020792
ra,RA [deg],6273,0,0.0,231.30768048909613,92.2893090006022,0.1856063,9.474098660000001,37.929615440000006,169.4475218,284.4722473,293.1311803,325.45887823999993,351.84034818799995,359.9749837,-1.0392472314529904
sy_pnum,Number of Planets,6273,0,0.0,1.7591264147935597,1.1494674907266476,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,8.0,1.8428759587126604
sy_snum,Number of Stars,6273,0,0.0,1.101546309580743,0.3398292171234793,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,3.5428736529865743
ttv_flag,Data show Transit Timing Variations,6273,0,0.0,0.0779531324725012,0.26811919271485257,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.1492073803826552
